Text,Aspect,Sentiment_Score,,,,
Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.,biaxin,-2,,,,
Severe mood swings between hypomania and depression with suicide ideation before Lamictal. Began with 10mg and tritrated up to 400mg over a few months. Played around with the dosage to finally arrive at 400mg. Experimented with taking it at different times in the evening. Found that most comfortable time is before sleep.,lamictal,-2,,Minimum,,-34
"Depakote was prescribed to me by a Kaiser psychiatrist in Pleasant Hill, CA in 2006.  The medication was given to help treat the diagnosis of Bipolar Disorder, Type II.  My disease was misdiagnosed for several years as depression, since I was never seen by a professional during hypomanic episodes, and when I did see a professional, I did not think that my manic symptoms were signs of a serious psychiatric problem.  Anti-depressant drugs were prescribed: Prozac in 2001, which had minimal effect and I stopped taking them a few months later. Wellbutrin was prescribed again for ""chronic depression"" in the spring of 2006, but this medication slowly spun me into an intense manic period.  After the manic episode, I fell very hard into a severe, suicidal depressive state.  I was voluntarily admitted to a psychiatric ward in June 2006 to keep me safe and to properly diagnose my condition.  The symptoms I was experiencing before being prescribed the Depakote/Depakene: rapidly cycling mood swings between intense activation and irritablity/excitement and crashing lows and depression, suicidal thoughts, poor logic and decision making, racing thoughts, anxiety, poor concentration, and poor sleep.",depakene,-4,,Maximum,,14
"This drug may not be for everyone but its wonderful for me! It makes me a totally different person, a better person.",sarafem,-2,,Mean,,-0.246
Drug was taken in gelatin tablet at 0.5 mg per day.  Drug treatment was carried out with bi-monthly visits to physician.  After 25 weeks ended treatment successfully finished treatment.  No recurrence of acne.,accutane,4,,SD,,4.026650199
"Basically the treatment did not seem to work.  My presumption is that symptoms should have completely cleared up by the end of the 10-day treatment, but they were still significantly present.",biaxin,1,,Positive Proportion,,0.326
took it for seizure took pills drank with water drank water and took pills took pills drank water drank water took pills took pills drank water drank water took pills toook pills drank water drank water toook pills took pills drank water drank water took pills.,carbamazepine,0,,Negative Proportion,,0.35
"Treating for neck, shoulder, arms, lower back, hip, thigh and knee pain.",ultram-er,-2,,Neutral Propotion,,0.324
"I started both klonopin and prozac together.  At first, I took klonopin 4 times a day.  Then gradually I was able to cut back to twice a day, first thing in the morning and again at dinnertime.  I did this very gradually, cutting out first the noontime dosage, and then the bedtime one.  I have never had talk-therapy at all.  I continue to take klonopin, or the generic clonazapam to this day with no adverse reactions at all.",klonopin,-1,,,,
"family doctor initially prescribed wellbutin but a psychologist at the hospital suggested effexor. the dose would be increased as i would adjust and experience setbacks. the gabapentin was added when i had sleep troubles and to augment. many things were also added and subtracted to no avail. a psychiatrist felt the dose could be increased to 375 mg. so it was but i was not under any supervised care other than my family physician. all the above side effects caused me to be sent from specialist to specialist who all had tentative diagnoses ranging from borderline personality, narcolepsy (the modifinil), sleep apnea and restless leg, and finally bi polar. finally a different psychiatrist said it was the drugs!",effexor,-3,,,,
I started on 50mg twice aday with out any pain relief.  The dosage was increased to 100mg twice a day with some pain relief but the side effects began,lyrica,-3,,,,
2x 1000mg tablets every 12 hours for 1 day.,valtrex,0,,,,
"Took 100mg each day in the morning, sometimes if drowsy another 100mg mid-day 

for cronic fatigue.",provigil,-2,,,,
